Retardance,Interval
95,1
114,1
133,1
152,1
267,1
286,1
305,1
419,1
438,1
572,1
591,1
610,1
629,1
724,1
743,1
762,1
876,1
895,1
914,1
1029,1
1048,1
1067,1
1181,1
1200,1
1219,1
1353,1
1372,1
1391,1
1505,1
1524,1
1543,1
1657,1
1676,1
1695,1
1810,1
1829,1
1848,1
1867,1
1981,1
2000,1
2019,1
2134,1
2153,1
2172,1
2286,1
2305,1
2324,1
2343,1
2457,1
2476,1
2496,1
2610,1
2629,1
2648,1
2762,1
2781,1
2800,1
2819,1
2934,1
2953,1
2972,1
3086,1
3105,1
3124,1
3258,1
3277,1
3296,1
3410,1
3429,1
3448,1
3562,1
3581,1
3600,1
3715,1
3734,1
3753,1
3772,1
3886,1
3905,1
3924,1
3943,1
Retardance,Interval
95,1
114,1
133,1
152,1
267,1
286,1
305,1
419,1
438,1
572,1
591,1
610,1
629,1
724,1
743,1
762,1
876,1
895,1
914,1
1029,1
1048,1
1067,1
1181,1
1200,1
1219,1
1353,1
1372,1
1391,1
1505,1
1524,1
1543,1
1657,1
1676,1
1695,1
1810,1
1829,1
1848,1
1867,1
1981,1
2000,1
2019,1
2134,1
2153,1
2172,1
2286,1
2305,1
2324,1
2343,1
2457,1
2476,1
2496,1
2610,1
2629,1
2648,1
2762,1
2781,1
2800,1
2819,1
2934,1
2953,1
2972,1
3086,1
3105,1
3124,1
3258,1
3277,1
3296,1
3410,1
3429,1
3448,1
3562,1
3581,1
3600,1
3715,1
3734,1
3753,1
3772,1
3886,1
3905,1
3924,1
3943,1
