"Retardance","Interval"
0,1
19,1
38,1
57,1
76,1
95,1
114,1
133,1
152,1
171,1
190,1
210,1
229,1
248,1
267,1
286,1
305,1
324,1
343,1
362,1
381,1
400,1
419,1
438,1
457,1
476,1
495,1
514,1
533,1
552,1
572,1
591,1
610,1
629,1
648,1
667,1
686,1
705,1
724,1
743,1
762,1
781,1
800,1
819,1
838,1
857,1
876,1
895,1
914,1
933,1
952,1
972,1
991,1
1010,1
1029,1
1048,1
1067,1
1086,1
1105,1
1124,1
1143,1
1162,1
1181,1
1200,1
1219,1
1238,1
1257,1
1276,1
1295,1
1314,1
1334,1
1353,1
1372,1
1391,1
1410,1
1429,1
1448,1
1467,1
1486,1
1505,1
1524,1
1543,1
1562,1
1581,1
1600,1
1619,1
1638,1
1657,1
1676,1
1695,1
1714,1
1734,1
1753,1
1772,1
1791,1
1810,1
1829,1
1848,1
1867,1
1886,1
1905,1
1924,1
1943,1
1962,1
1981,1
2000,1
2019,1
2038,1
2057,1
2076,1
2096,1
2115,1
2134,1
2153,1
2172,1
2191,1
2210,1
2229,1
2248,1
2267,1
2286,1
2305,1
2324,1
2343,1
2362,1
2381,1
2400,1
2419,1
2438,1
2457,1
2476,1
2496,1
2515,1
2534,1
2553,1
2572,1
2591,1
2610,1
2629,1
2648,1
2667,1
2686,1
2705,1
2724,1
2743,1
2762,1
2781,1
2800,1
2819,1
2838,1
2858,1
2877,1
2896,1
2915,1
2934,1
2953,1
2972,1
2991,1
3010,1
3029,1
3048,1
3067,1
3086,1
3105,1
3124,1
3143,1
3162,1
3181,1
3200,1
3219,1
3238,1
3258,1
3277,1
3296,1
3315,1
3334,1
3353,1
3372,1
3391,1
3410,1
3429,1
3448,1
3467,1
3486,1
3505,1
3524,1
3543,1
3562,1
3581,1
3600,1
3620,1
3639,1
3658,1
3677,1
3696,1
3715,1
3734,1
3753,1
3772,1
3791,1
3810,1
3829,1
3848,1
3867,1
3886,1
3905,1
3924,1
3943,1
3962,1
3981,1
